gene,n_sources,sources
PDK4,1,GOBP_RESPONSE_TO_INSULIN
PFKFB2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
PFKL,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
PHIP,1,GOBP_RESPONSE_TO_INSULIN
PHLDB1,1,HPO_Insulin_resistance
PID1,1,GOBP_RESPONSE_TO_INSULIN
PIK3C2A,1,GOBP_RESPONSE_TO_INSULIN
PIM1,1,KEGG_AGE_RAGE_diabetic_complications
PIP4K2A,1,GOBP_RESPONSE_TO_INSULIN
PIP4K2B,1,GOBP_RESPONSE_TO_INSULIN
PIP4K2C,1,GOBP_RESPONSE_TO_INSULIN
PLA2G1B,1,GOBP_RESPONSE_TO_INSULIN
PLAAT3,1,HPO_Hyperglycemia
PLAGL1,1,HPO_Hyperglycemia
PLCB2,1,KEGG_AGE_RAGE_diabetic_complications
PLCB3,1,KEGG_AGE_RAGE_diabetic_complications
PLCB4,1,KEGG_AGE_RAGE_diabetic_complications
PLCD1,1,KEGG_AGE_RAGE_diabetic_complications
PLCD3,1,KEGG_AGE_RAGE_diabetic_complications
PLCD4,1,KEGG_AGE_RAGE_diabetic_complications
PLCE1,1,KEGG_AGE_RAGE_diabetic_complications
PLCG1,1,KEGG_AGE_RAGE_diabetic_complications
PLCG2,1,KEGG_AGE_RAGE_diabetic_complications
PLIN1,1,HPO_Insulin_resistance
PLN,1,GOBP_RESPONSE_TO_INSULIN
PLTP,1,CTD_Insulin_Resistance
PMM2,1,HPO_Insulin_resistance
PNPLA3,1,GOBP_RESPONSE_TO_INSULIN
POLD1,1,HPO_Insulin_resistance
POU4F2,1,GOBP_RESPONSE_TO_INSULIN
PPARGC1A,1,KEGG_insulin_resistance
PPARGC1B,1,KEGG_insulin_resistance
PPP1CA,1,KEGG_insulin_resistance
PPP1CB,1,KEGG_insulin_resistance
PPP1CC,1,KEGG_insulin_resistance
PPP1R3B,1,KEGG_insulin_resistance
PPP1R3C,1,KEGG_insulin_resistance
PPP1R3D,1,KEGG_insulin_resistance
PPP1R3E,1,KEGG_insulin_resistance
PRDX4,1,CTD_Hyperglycemia
PRKAB1,1,KEGG_insulin_resistance
PRKAB2,1,KEGG_insulin_resistance
PRKAG1,1,KEGG_insulin_resistance
PRKAG2,1,KEGG_insulin_resistance
PRKAG3,1,KEGG_insulin_resistance
PRKCA,1,KEGG_AGE_RAGE_diabetic_complications
PRKCI,1,GOBP_RESPONSE_TO_INSULIN
PRKDC,1,GOBP_RESPONSE_TO_INSULIN
PRORP,1,HPO_Hyperglycemia
PTF1A,1,HPO_Hyperglycemia
PTGS2,1,CTD_Hyperglycemia
PTPA,1,KEGG_insulin_resistance
PTPN2,1,GOBP_RESPONSE_TO_INSULIN
PTPRE,1,GOBP_RESPONSE_TO_INSULIN
PTPRF,1,KEGG_insulin_resistance
PTPRJ,1,GOBP_RESPONSE_TO_INSULIN
PYGB,1,KEGG_insulin_resistance
PYGL,1,KEGG_insulin_resistance
PYGM,1,KEGG_insulin_resistance
RAB10,1,GOBP_RESPONSE_TO_INSULIN
RAB13,1,GOBP_RESPONSE_TO_INSULIN
RAB31,1,GOBP_RESPONSE_TO_INSULIN
RAB8A,1,GOBP_RESPONSE_TO_INSULIN
RARRES2,1,GOBP_RESPONSE_TO_INSULIN
RASAL2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
RB1,1,GOBP_RESPONSE_TO_INSULIN
RBP4,1,GOBP_RESPONSE_TO_INSULIN
RBX1,1,GOBP_RESPONSE_TO_INSULIN
RET,1,HPO_Hyperglycemia
RHOQ,1,GOBP_RESPONSE_TO_INSULIN
RIMS2,1,HPO_Hyperglycemia
RMI1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
RPE65,1,GOBP_RESPONSE_TO_INSULIN
RPS6,1,GOBP_RESPONSE_TO_INSULIN
RPS6KA1,1,KEGG_insulin_resistance
RPS6KA3,1,KEGG_insulin_resistance
RPS6KA6,1,KEGG_insulin_resistance
SARM1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
SCAP,1,GOBP_RESPONSE_TO_INSULIN
SCAPER,1,HPO_Insulin_resistance
SCD1,1,CTD_Insulin_Resistance
SCLT1,1,HPO_Insulin_resistance
SDCCAG8,1,HPO_Insulin_resistance
SDHA,1,HPO_Hyperglycemia
SDHAF2,1,HPO_Hyperglycemia
SDHB,1,HPO_Hyperglycemia
SDHC,1,HPO_Hyperglycemia
SDHD,1,HPO_Hyperglycemia
SELE,1,KEGG_AGE_RAGE_diabetic_complications
SELENOP,1,CTD_Insulin_Resistance
SERPINA12,1,GOBP_RESPONSE_TO_INSULIN
SERPINE1,1,KEGG_AGE_RAGE_diabetic_complications
SESN3,1,GOBP_RESPONSE_TO_INSULIN
SH2B1,1,HPO_Hyperglycemia
SH2B2,1,GOBP_RESPONSE_TO_INSULIN
SHC1,1,GOBP_RESPONSE_TO_INSULIN
SIK2,1,GOBP_RESPONSE_TO_INSULIN
SIM1,1,CTD_Hyperglycemia
SLC12A3,1,HPO_Insulin_resistance
SLC22A12,1,GOBP_RESPONSE_TO_INSULIN
SLC25A11,1,HPO_Hyperglycemia
SLC25A33,1,GOBP_RESPONSE_TO_INSULIN
SLC27A2,1,KEGG_insulin_resistance
SLC27A3,1,KEGG_insulin_resistance
SLC27A5,1,KEGG_insulin_resistance
SLC27A6,1,KEGG_insulin_resistance
SLC2A8,1,GOBP_RESPONSE_TO_INSULIN
SLC9A1,1,GOBP_RESPONSE_TO_INSULIN
SMARCC1,1,GOBP_RESPONSE_TO_INSULIN
SNX5,1,GOBP_RESPONSE_TO_INSULIN
SOCS2,1,KEGG_type_II_diabetes
SOCS4,1,KEGG_type_II_diabetes
SOCS7,1,GOBP_RESPONSE_TO_INSULIN
SORBS1,1,GOBP_RESPONSE_TO_INSULIN
SORL1,1,GOBP_RESPONSE_TO_INSULIN
SORT1,1,GOBP_RESPONSE_TO_INSULIN
SOS1,1,GOBP_RESPONSE_TO_INSULIN
SOS2,1,GOBP_RESPONSE_TO_INSULIN
SQSTM1,1,CTD_Insulin_Resistance
SRD5A1,1,GOBP_RESPONSE_TO_INSULIN
SREBF2,1,CTD_Insulin_Resistance
SRSF4,1,GOBP_RESPONSE_TO_INSULIN
SRSF5,1,GOBP_RESPONSE_TO_INSULIN
SRSF6,1,GOBP_RESPONSE_TO_INSULIN
STAT1,1,KEGG_AGE_RAGE_diabetic_complications
STAT5A,1,KEGG_AGE_RAGE_diabetic_complications
STAT5B,1,KEGG_AGE_RAGE_diabetic_complications
STS,1,CTD_Insulin_Resistance
STXBP3,1,GOBP_RESPONSE_TO_INSULIN
SYAP1,1,GOBP_RESPONSE_TO_INSULIN
TAT,1,GOBP_RESPONSE_TO_INSULIN
TERT,1,CTD_Hyperglycemia
TFG,1,HPO_Hyperglycemia
TGFB2,1,KEGG_AGE_RAGE_diabetic_complications
TGFB3,1,KEGG_AGE_RAGE_diabetic_complications
TGFBR1,1,KEGG_AGE_RAGE_diabetic_complications
TGFBR2,1,KEGG_AGE_RAGE_diabetic_complications
THBD,1,KEGG_AGE_RAGE_diabetic_complications
THBS1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
TMEM127,1,HPO_Hyperglycemia
TNFRSF11A,1,GOBP_RESPONSE_TO_INSULIN
TNFRSF1A,1,KEGG_insulin_resistance
TNS2,1,GOBP_RESPONSE_TO_INSULIN
TRARG1,1,GOBP_RESPONSE_TO_INSULIN
TRIM32,1,HPO_Insulin_resistance
TRIM72,1,GOBP_RESPONSE_TO_INSULIN
TRPV4,1,GOBP_RESPONSE_TO_INSULIN
TSC1,1,GOBP_RESPONSE_TO_INSULIN
TSC2,1,GOBP_RESPONSE_TO_INSULIN
TTC8,1,HPO_Insulin_resistance
TXNIP,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
UCN3,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
UCP3,1,GOBP_RESPONSE_TO_INSULIN
UPRT,1,GOBP_RESPONSE_TO_INSULIN
USO1,1,GOBP_RESPONSE_TO_INSULIN
VCAM1,1,KEGG_AGE_RAGE_diabetic_complications
VEGFA,1,KEGG_AGE_RAGE_diabetic_complications
VEGFB,1,KEGG_AGE_RAGE_diabetic_complications
VEGFC,1,KEGG_AGE_RAGE_diabetic_complications
VEGFD,1,KEGG_AGE_RAGE_diabetic_complications
VGF,1,GOBP_RESPONSE_TO_INSULIN
VHL,1,HPO_Hyperglycemia
VPS13C,1,GOBP_RESPONSE_TO_INSULIN
VWA2,1,GOBP_RESPONSE_TO_INSULIN
WDPCP,1,HPO_Insulin_resistance
WDTC1,1,GOBP_RESPONSE_TO_INSULIN
XRCC4,1,HPO_Insulin_resistance
YWHAG,1,GOBP_RESPONSE_TO_INSULIN
ZBTB7B,1,GOBP_RESPONSE_TO_INSULIN
ZDHHC7,1,GOBP_RESPONSE_TO_INSULIN
ZFP57,1,HPO_Hyperglycemia
ZNF106,1,GOBP_RESPONSE_TO_INSULIN
